model,feature,accuracy,acc_std,precision,recall,f1,f1_std
CNN,MFCC,0.8466,0.0054,0.8466,0.9999,0.9169,0.0032
CNN,STFT,0.8466,0.0055,0.8466,1.0,0.9169,0.0032
CNN,Mel,0.8466,0.0055,0.8466,1.0,0.9169,0.0032
RF,combined,0.836,0.0232,0.8849,0.9271,0.9051,0.015
RF,wavelet,0.8304,0.0246,0.9081,0.8899,0.8985,0.0166
SVM,combined,0.7283,0.0452,0.8873,0.7775,0.8278,0.0339
kNN,combined,0.6802,0.0406,0.8584,0.7446,0.7968,0.0311
SVM,wavelet,0.6218,0.0871,0.9123,0.6106,0.7277,0.075
CNN,GFCC,0.5691,0.3397,0.5079,0.6,0.5501,0.4492
