participant,n_eating_test,n_idle_test,accuracy,precision,recall,f1
22,1160,1218,0.6299,0.5686,1.0,0.725
23,812,1218,0.5857,0.4912,1.0,0.6588
24,290,1218,0.4191,0.2487,1.0,0.3984
25,522,1218,0.5132,0.3813,1.0,0.5521
26,406,1218,0.4963,0.3317,1.0,0.4982
27,1044,1218,0.5995,0.5397,0.8985,0.6743
28,1102,1218,0.5836,0.5408,0.8176,0.651
29,1160,1218,0.6304,0.5771,0.9069,0.7053
30,1102,1218,0.6207,0.5595,0.9474,0.7035
31,1160,1218,0.6211,0.5674,0.9397,0.7076
32,1102,1218,0.6034,0.5539,0.8485,0.6703
33,696,1218,0.5465,0.443,0.9612,0.6065
34,986,1218,0.6143,0.5401,0.929,0.6831
35,1160,1218,0.5484,0.5267,0.7319,0.6126
36,1102,1218,0.6487,0.577,0.9755,0.7251
37,1102,1218,0.6375,0.5717,0.9437,0.7121
38,986,1218,0.6311,0.5488,0.9858,0.7051
39,870,1218,0.5738,0.4942,0.9759,0.6561
40,986,1218,0.6021,0.5301,0.9746,0.6867
41,1044,1218,0.6163,0.5468,0.9856,0.7033
