model,feature,eval,accuracy,acc_std,precision,recall,f1
SVM,statistical,CV,0.8275,0.0066,0.8296,0.9947,0.9046
SVM,statistical,80/20,0.8206,0.0,0.8224,0.9973,0.9014
RF,statistical,CV,0.8971,0.0109,0.9259,0.951,0.9383
RF,statistical,80/20,0.919,0.0,0.938,0.9654,0.9515
kNN,statistical,CV,0.8787,0.0125,0.9238,0.9292,0.9264
kNN,statistical,80/20,0.8731,0.0,0.9274,0.9176,0.9225
SVM,wavelet_DWT,CV,0.8757,0.0122,0.8719,0.9952,0.9294
SVM,wavelet_DWT,80/20,0.8753,0.0,0.8718,0.9947,0.9292
RF,wavelet_DWT,CV,0.9606,0.0113,0.9667,0.9862,0.9763
RF,wavelet_DWT,80/20,0.9562,0.0,0.9684,0.9787,0.9735
kNN,wavelet_DWT,CV,0.937,0.0134,0.9733,0.9494,0.9612
kNN,wavelet_DWT,80/20,0.9431,0.0,0.9808,0.9495,0.9649
CNN,mel_spectrogram,CV,0.8301,0.016,0.829,1.0,0.9064
CNN,mel_spectrogram,80/20,0.9584,0.0,0.9735,0.9761,0.9748
CNN,MFCC,CV,0.8222,0.0008,0.8222,1.0,0.9025
CNN,MFCC,80/20,0.9584,0.0,0.9542,0.9973,0.9753
CNN,wavelet_CWT,CV,0.9917,0.0105,0.9912,0.9989,0.995
CNN,wavelet_CWT,80/20,0.9978,0.0,1.0,0.9973,0.9987
CNN,STFT,CV,0.8617,0.0177,0.8563,1.0,0.9225
CNN,STFT,80/20,0.9759,0.0,0.9867,0.984,0.9854
